SERVER_NA,OWNER                         ,TABLE_NAME                    ,LAST_ANA,   SIZE_MB,  NUM_ROWS,OBJECT_TYPE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMORPTEMP                  ,12/09/17,        ,3,       168,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMORATEPLAN                ,12/09/17,         8,      3061,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOCUSTOMERINFO            ,12/09/17,        22,    122070,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCQRTZ_TRIGGERS               ,12/09/17,        ,1,         3,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMPROVINCETAX                 ,12/09/17,        ,1,        10,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BCQRTZ_PAUSED_TRIGGER_GRPS    ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BCQRTZ_SCHEDULER_STATE        ,12/09/17,        ,1,         2,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOUSERPROFILE             ,12/09/17,        ,1,        40,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOMESSAGECONFIG           ,12/09/17,        ,1,         3,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MMSLOGIN                      ,12/09/17,        ,1,       202,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOFABCONTACTSLIST         ,12/09/17,        72,    453290,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMO_FAB_ASSOSIATION        ,12/09/17,        59,    447030,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,QRTZ_JOB_DETAILS              ,12/09/17,         5,      6551,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,QRTZ_FIRED_TRIGGERS           ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,OFFERREDEMPTION               ,12/09/17,        ,1,        38,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,OFFERSTAGEDLOCAL              ,12/09/17,        ,1,        20,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,REGISTERONGO                  ,12/09/17,        ,1,        33,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,REPORT                        ,12/09/17,        10,       411,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,WAPCONTENTLIST                ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,USWEEKLYSTORY                 ,12/09/17,        ,1,       210,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NASCARSUBSCRIBER              ,12/09/17,        ,3,      2707,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,ATTRIBUTE                     ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,DEVICECAPABILITY              ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOAOC                     ,12/09/17,        ,1,         9,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONCONTENT           ,12/09/17,        ,1,        62,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NEXTELMMSBLOB                 ,12/09/17,        ,1,        87,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCPEPTALK                    ,12/09/17,        ,1,        31,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SONYALERTSSUBSLOG             ,12/09/17,        ,1,      1153,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CATCHAG6RINGTONEREG           ,12/09/17,        ,1,       576,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MMSLOGIN2                     ,12/09/17,        ,1,       209,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,POLLCHOICE                    ,12/09/17,        ,1,       239,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SPRINTWINNERS                 ,12/09/17,        ,1,         7,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,IQSWEEPSSUBSCRIBER            ,12/09/17,         2,     13437,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,IFUNTRANSACTION               ,12/09/17,        ,3,       330,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,USNSUBSCRIBER                 ,12/09/17,        ,1,        36,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TESTTAB                       ,12/09/17,        80,    533700,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOMEDIAPLAYER             ,12/09/17,        ,6,        90,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMORATEPLANCACHE           ,12/09/17,      1886,    877330,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCAREUSERSESSION              ,12/09/17,        64,    143640,TABLE
